날짜,게시글 URL,댓글,조회수,글 제목,작업자,쪽지 수량
2025-07-09,https://cafe.naver.com/feko/9676113,6,283,이마축소 상담 받으러 히트 병원 다녀왔는데 놀랐어요,문나래 매니저,4
2025-07-09,https://cafe.naver.com/fox5282/4259356,0,0,,문나래 매니저,1
2025-07-08,https://sungyesa.com/new/b01/1190383,,,매부리복코 코수술햇어 어때보여,"문나래 매니저,문나래 매니저",
2025-07-08,https://cafe.naver.com/feko/9671869,2,164,코수술 1달차인데 저 코 어떤지 좀 봐주세요......,차예나 매니저,
2025-07-07,https://sungyesa.com/new/d04/308861,,,30 후반인데 내시경 이마거상+추미근절제 함!,"문나래 매니저,문나래 매니저",
2025-07-07,https://cafe.naver.com/feko/9667788,15,174,"신논현역 ㅎㅌ성형외과 이중턱+얼굴지방흡입, 실리프팅 상담 내용 공유합니다",문나래 매니저,4
2025-07-07,https://cafe.naver.com/feko/9666032,5,214,자연스러운 느낌 원했는데 딱 라인 잘됐어요!,김채운 매니저,1
2025-07-04,https://cafe.naver.com/feko/9660711,5,307,"히트성형외과에서 얼굴지방흡입 받은지 2주차 멍, 붓기 다 빠짐","문나래 매니저,문나래 매니저",
2025-07-04,https://sungyesa.com/new/b01/1189770,,,자연스럽게 코수술 했어 ㅎㅎ,"문나래 매니저,문나래 매니저",
2025-07-04,https://cafe.naver.com/feko/9660493,0,0,,차예나 매니저,2
2025-07-04,https://cafe.naver.com/feko/9660103,4,112,눈재수술 붓기 첫수술보다 없는데요!?,김채운 매니저,1
2025-07-03,https://sungyesa.com/new/d04/308588,,,이마축소 전이랑 후 오때 ㅎㅎ,"문나래 매니저,문나래 매니저",
2025-07-03,https://cafe.naver.com/feko/9656586,8,459,내시경이마거상 2주차 느낀점 상태 등 찐후기 공유,차예나 매니저,3
2025-07-03,https://cafe.naver.com/feko/9655979,7,559,히트에서 이마축소 수술 받은지 한달됐어요!,문나래 매니저,2
2025-07-02,https://sungyesa.com/new/b01/1189431,,,"필러+하이코 제거, 기증늑 코수술","문나래 매니저,문나래 매니저",
2025-07-02,https://cafe.naver.com/feko/9651319,5,267,눈재수술 부분절개+눈매교정으로 수술받은 후기,차예나 매니저,1
2025-07-02,https://cafe.naver.com/feko/9649668,0,0,,문나래 매니저,3
2025-07-01,https://cafe.naver.com/feko/9646495,4,317,저 코 진짜 잘된거같아요,차예나 매니저,
